term,sum_sq,df,F,PR(>F),variable,eta2_partial
C(time_window),3698021.990251014,3.0,1861.5948309370567,0.0,NOX,0.054492728213196194
Residual,64164647.24119122,96902.0,,,NOX,0.054492728213196194
C(time_window),356.28637456415555,3.0,196.486201707402,4.731719942441354e-127,CO,0.006046258960077101
Residual,58570.46104341482,96902.0,,,CO,0.006046258960077101
C(time_window),5620764.835864389,3.0,894.0779165958647,0.0,PM10,0.026934321315630096
Residual,203063343.8148569,96902.0,,,PM10,0.026934321315630096
C(time_window),793580.5588780064,3.0,1419.6861184987217,0.0,PM2.5,0.0421017575807595
Residual,18055527.043239597,96902.0,,,PM2.5,0.0421017575807595
C(time_window),11259855.66614183,3.0,14416.786732812465,0.0,O3,0.30859530397633367
Residual,25227594.146138377,96902.0,,,O3,0.30859530397633367
C(time_window),2223047.6768455384,3.0,2544.3304629278887,0.0,NO,0.07301852984705623
Residual,28221932.268682104,96902.0,,,NO,0.07301852984705623
C(time_window),187423.4412210138,3.0,380.09275109804906,1.8430117742843694e-245,NO2,0.011630474868690994
Residual,15927433.71956044,96902.0,,,NO2,0.011630474868690994
C(time_window),49518.00079876632,3.0,727.9162501976056,0.0,SO2,0.022038979148146683
Residual,2197319.31711441,96902.0,,,SO2,0.022038979148146683
